Length,asii_value,word_count,Vowel_Count,consonants,syllable_count,underscore,hyphen,tandi,tanv,count_n,count_v,count_adj,max_length_word,min_length_word,ratito_char,label
12,1302,2,4,8,3,0,0.0,0.3333333333333333,2,2,0,8,4,1.0,2,8
16,1799,8,4,12,5,0,0.0,0.25,0,0,0,3,1,1.0,4,7
23,2445,9,9,14,9,0,0.0,0.391304347826087,4,1,0,6,1,1.0,4,4
6,644,3,3,3,2,0,0.0,0.5,0,0,0,3,1,1.0,1,0
7,739,2,3,4,1,0,0.0,0.42857142857142855,0,0,0,6,1,1.0,1,0
15,1629,8,2,13,2,0,0.0,0.13333333333333333,0,0,0,3,1,1.0,4,2
6,654,1,3,3,3,0,0.0,0.5,0,0,0,6,6,1.0,1,0
12,1267,2,5,7,3,0,0.0,0.4166666666666667,1,1,0,7,5,1.0,2,0
8,889,2,1,7,1,0,0.0,0.125,0,0,0,6,2,1.0,1,0
7,579,2,2,5,1,0,0.0,0.2857142857142857,0,0,0,4,3,1.0,1,0
22,2396,6,7,15,7,0,0.0,0.3181818181818182,0,0,0,7,1,1.0,4,4
6,620,1,3,3,2,0,0.0,0.5,1,0,0,6,6,1.0,1,0
6,463,2,0,6,0,0,0.0,0.0,0,0,0,3,3,1.0,1,0
6,654,2,2,4,2,0,0.0,0.3333333333333333,1,1,0,3,3,1.0,1,0
9,940,3,4,5,4,0,0.0,0.4444444444444444,0,0,0,4,2,1.0,2,0
15,1592,6,7,8,7,0,0.0,0.4666666666666667,2,0,0,4,1,1.0,4,4
10,1110,2,3,7,3,0,0.0,0.3,1,1,0,6,4,1.0,2,0
18,1701,12,3,15,2,0,0.0,0.16666666666666666,0,0,0,3,1,1.0,4,12
19,1995,3,9,10,6,0,0.0,0.47368421052631576,0,0,0,9,4,1.0,4,14
17,1794,4,7,10,7,0,0.0,0.4117647058823529,1,1,0,9,1,1.0,4,14
11,1178,2,3,8,3,0,0.0,0.2727272727272727,1,1,0,6,5,1.0,2,0
17,1901,10,2,15,2,0,0.0,0.11764705882352941,0,0,0,3,1,1.0,4,11
4,214,1,0,4,0,0,0.0,0.0,0,0,0,4,4,1.0,1,0
6,630,1,2,4,1,0,0.0,0.3333333333333333,1,1,0,6,6,1.0,1,0
5,257,1,0,5,0,0,0.0,0.0,0,0,0,5,5,1.0,1,0
16,1769,7,1,15,3,0,0.0,0.0625,0,0,0,4,1,1.0,4,1
11,1193,4,3,8,3,0,0.0,0.2727272727272727,0,0,0,4,1,1.0,2,0
24,2395,15,2,22,3,0,0.0,0.08333333333333333,0,0,0,3,1,1.0,4,3
10,1105,5,2,8,2,0,0.0,0.2,0,0,0,3,1,1.0,2,7
18,1982,7,8,10,6,0,0.0,0.4444444444444444,0,0,0,4,1,1.0,4,4
4,438,2,2,2,2,0,0.0,0.5,1,0,1,3,1,1.0,1,0
12,1302,7,2,10,2,0,0.0,0.16666666666666666,0,0,0,3,1,1.0,2,15
15,1624,7,2,13,3,0,0.0,0.13333333333333333,0,0,0,4,1,1.0,4,2
5,561,2,2,3,2,0,0.0,0.4,1,1,0,3,2,1.0,1,0
4,328,2,1,3,1,0,0.0,0.25,0,0,0,2,2,1.0,1,0
13,1434,2,7,6,4,0,0.0,0.5384615384615384,1,1,0,7,6,1.0,3,9
9,935,2,4,5,4,0,0.0,0.4444444444444444,0,0,0,5,4,1.0,2,0
12,1282,2,4,8,3,0,0.0,0.3333333333333333,1,1,0,7,5,1.0,2,0
15,1570,7,3,12,3,0,0.0,0.2,0,0,0,3,1,1.0,4,2
14,1523,3,5,9,5,0,0.0,0.35714285714285715,1,1,0,7,3,1.0,3,0
16,1750,7,5,11,5,0,0.0,0.3125,0,0,0,3,1,1.0,4,1
3,312,2,0,3,0,0,0.0,0.0,0,0,0,2,1,1.0,1,0
20,2173,5,9,11,6,0,0.0,0.45,1,1,1,6,3,1.0,4,4
28,2963,5,10,18,9,0,0.0,0.35714285714285715,5,5,1,9,4,1.0,4,5
15,1639,7,2,13,2,0,0.0,0.13333333333333333,0,0,0,4,1,1.0,4,6
5,545,3,2,3,1,0,0.0,0.4,1,0,0,2,1,1.0,1,0
13,1392,2,5,8,3,0,0.0,0.38461538461538464,1,1,0,9,4,1.0,3,0
14,1503,2,6,8,6,0,0.0,0.42857142857142855,0,0,0,8,6,1.0,3,0
17,1869,9,7,10,5,0,0.0,0.4117647058823529,1,0,0,3,1,1.0,4,11
3,336,2,1,2,1,0,0.0,0.3333333333333333,0,0,0,2,1,1.0,1,0
3,326,2,2,1,1,0,0.0,0.6666666666666666,0,0,0,2,1,1.0,1,0
9,974,2,3,6,2,0,0.0,0.3333333333333333,2,1,1,5,4,1.0,2,0
9,952,2,4,5,3,0,0.0,0.4444444444444444,0,0,0,6,3,1.0,2,0
17,1826,7,4,13,6,0,0.0,0.23529411764705882,0,0,0,3,1,1.0,4,11
17,1890,9,2,15,3,0,0.0,0.11764705882352941,0,0,0,3,1,1.0,4,11
24,2571,10,10,14,9,0,0.0,0.4166666666666667,1,0,1,3,1,1.0,4,4
13,1442,6,3,10,2,0,0.0,0.23076923076923078,0,0,0,3,2,1.0,3,7
16,1796,8,2,14,3,0,0.0,0.125,1,1,1,3,1,1.0,4,1
16,1751,8,3,13,3,0,0.0,0.1875,0,0,0,3,1,1.0,4,1
3,332,2,1,2,1,0,0.0,0.3333333333333333,0,0,0,2,1,1.0,1,0
14,1588,8,5,9,3,0,0.0,0.35714285714285715,0,0,0,3,1,1.0,3,6
10,1102,2,3,7,3,0,0.0,0.3,1,1,1,5,5,1.0,2,0
5,538,1,2,3,2,0,0.0,0.4,0,0,0,5,5,1.0,1,0
18,1926,7,6,12,6,0,0.0,0.3333333333333333,2,1,1,4,1,1.0,4,4
4,443,2,2,2,1,0,0.0,0.5,0,0,0,2,2,1.0,1,0
5,521,2,2,3,2,0,0.0,0.4,1,1,0,3,2,1.0,1,0
12,1295,2,4,8,3,0,0.0,0.3333333333333333,0,0,0,9,3,1.0,2,0
3,329,2,1,2,1,0,0.0,0.3333333333333333,0,0,0,2,1,1.0,1,0
12,1294,2,6,6,3,0,0.0,0.5,1,1,0,6,6,1.0,2,0
18,1654,12,3,15,3,0,0.0,0.16666666666666666,0,0,0,2,1,1.0,4,12
5,434,3,0,5,0,0,0.0,0.0,0,0,0,2,1,1.0,1,0
28,2249,17,5,23,5,0,0.0,0.17857142857142858,0,0,0,3,1,1.0,4,3
24,2587,7,11,13,10,0,0.0,0.4583333333333333,1,0,1,7,1,1.0,4,4
10,1018,7,2,8,2,0,0.0,0.2,1,0,0,2,1,1.0,2,13
6,657,2,2,4,1,0,0.0,0.3333333333333333,1,1,0,5,1,1.0,1,0
18,1880,9,4,14,4,0,0.0,0.2222222222222222,0,0,0,3,1,1.0,4,12
7,762,3,2,5,2,0,0.0,0.2857142857142857,0,0,0,3,2,1.0,1,0
7,770,1,3,4,3,0,0.0,0.42857142857142855,0,0,0,7,7,1.0,1,0
4,449,2,2,2,2,0,0.0,0.5,0,0,0,2,2,1.0,1,0
26,2831,4,9,17,8,0,0.0,0.34615384615384615,4,3,0,10,5,1.0,4,5
16,1782,8,2,14,2,0,0.0,0.125,0,0,0,3,1,1.0,4,1
17,1886,7,5,12,6,0,0.0,0.29411764705882354,0,0,0,3,2,1.0,4,11
10,1053,2,4,6,3,0,0.0,0.4,0,0,0,6,4,1.0,2,0
9,948,1,5,4,4,0,0.0,0.5555555555555556,0,0,0,9,9,1.0,2,0
13,1423,2,4,9,4,0,0.0,0.3076923076923077,2,1,0,7,6,1.0,3,9
8,885,1,4,4,3,0,0.0,0.5,0,0,0,8,8,1.0,1,0
17,1832,6,9,8,7,0,0.0,0.5294117647058824,0,0,0,4,1,1.0,4,4
17,1888,8,6,11,4,0,0.0,0.35294117647058826,0,0,0,3,1,1.0,4,11
15,1689,8,2,13,3,0,0.0,0.13333333333333333,0,0,0,2,1,1.0,4,2
24,2612,8,10,14,9,0,0.0,0.4166666666666667,0,0,0,4,1,1.0,4,4
10,1089,2,2,8,3,0,0.0,0.2,1,1,0,7,3,1.0,2,0
15,1601,3,4,11,4,0,0.0,0.26666666666666666,0,0,0,7,3,1.0,4,0
19,2013,5,8,11,7,0,0.0,0.42105263157894735,1,0,0,9,1,1.0,4,4
