Length,asii_value,word_count,Vowel_Count,consonants,syllable_count,underscore,hyphen,countdi,tandi,tanv,count_n,count_v,count_adj,max_length_word,min_length_word,ratito_char,word_dga,ratio_dga,label,type
26,2830,8,9,17,9,0,0,0.0,0.34615384615384615,1,0,1,8,1,0.0,4,2,0.25,1,banjori
26,2824,8,9,17,8,0,0,0.0,0.34615384615384615,1,0,1,8,1,0.0,4,2,0.25,1,banjori
26,2806,8,9,17,9,0,0,0.0,0.34615384615384615,1,0,1,8,1,0.0,4,2,0.25,1,banjori
26,2806,8,10,16,9,0,0,0.0,0.38461538461538464,1,0,1,8,1,0.0,4,2,0.25,1,banjori
26,2843,8,8,18,9,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,1,0.125,1,banjori
26,2814,8,9,17,10,0,0,0.0,0.34615384615384615,1,0,1,8,1,0.0,4,2,0.25,1,banjori
26,2817,8,9,17,9,0,0,0.0,0.34615384615384615,1,0,1,8,1,0.0,4,1,0.125,1,banjori
26,2816,8,10,16,9,0,0,0.0,0.38461538461538464,1,0,1,8,1,0.0,4,2,0.25,1,banjori
26,2797,8,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,2,0.25,1,banjori
26,2805,8,10,16,9,0,0,0.0,0.38461538461538464,1,0,1,8,1,0.0,4,3,0.375,1,banjori
18,1953,6,6,12,6,0,0,0.0,0.3333333333333333,1,0,0,6,1,0.0,4,1,0.16666666666666666,1,banjori
26,2826,8,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,1,0.125,1,banjori
18,1949,6,5,13,5,0,0,0.0,0.2777777777777778,1,0,0,6,1,0.0,4,1,0.16666666666666666,1,banjori
26,2817,9,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,1,0.1111111111111111,1,banjori
18,1932,6,7,11,7,0,0,0.0,0.3888888888888889,1,0,0,6,1,0.0,4,1,0.16666666666666666,1,banjori
18,1977,7,5,13,5,0,0,0.0,0.2777777777777778,1,0,0,6,1,0.0,4,1,0.14285714285714285,1,banjori
18,1954,6,5,13,5,0,0,0.0,0.2777777777777778,1,0,0,6,1,0.0,4,1,0.16666666666666666,1,banjori
26,2843,8,8,18,8,0,0,0.0,0.3076923076923077,2,0,2,8,1,0.0,4,2,0.25,1,banjori
26,2800,7,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,2,0.2857142857142857,1,banjori
26,2842,8,10,16,9,0,0,0.0,0.38461538461538464,1,0,1,8,1,0.0,4,2,0.25,1,banjori
18,1943,6,7,11,6,0,0,0.0,0.3888888888888889,1,0,0,6,1,0.0,4,1,0.16666666666666666,1,banjori
26,2836,9,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,2,0.2222222222222222,1,banjori
18,1943,6,7,11,6,0,0,0.0,0.3888888888888889,1,0,0,6,1,0.0,4,1,0.16666666666666666,1,banjori
26,2826,8,9,17,8,0,0,0.0,0.34615384615384615,1,0,1,8,1,0.0,4,2,0.25,1,banjori
18,1943,6,5,13,5,0,0,0.0,0.2777777777777778,1,0,0,6,1,0.0,4,1,0.16666666666666666,1,banjori
26,2834,7,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,1,0.14285714285714285,1,banjori
26,2827,9,9,17,8,0,0,0.0,0.34615384615384615,1,0,1,8,1,0.0,4,1,0.1111111111111111,1,banjori
18,1980,6,6,12,6,0,0,0.0,0.3333333333333333,1,0,0,6,1,0.0,4,1,0.16666666666666666,1,banjori
18,1936,6,5,13,5,0,0,0.0,0.2777777777777778,1,0,0,6,1,0.0,4,1,0.16666666666666666,1,banjori
26,2790,8,9,17,9,0,0,0.0,0.34615384615384615,2,0,1,8,1,0.0,4,1,0.125,1,banjori
26,2798,8,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,1,0.125,1,banjori
18,1948,6,6,12,6,0,0,0.0,0.3333333333333333,1,0,0,6,1,0.0,4,1,0.16666666666666666,1,banjori
18,1967,6,6,12,6,0,0,0.0,0.3333333333333333,1,0,0,6,1,0.0,4,1,0.16666666666666666,1,banjori
26,2826,8,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,1,0.125,1,banjori
26,2811,7,9,17,9,0,0,0.0,0.34615384615384615,1,0,1,8,1,0.0,4,2,0.2857142857142857,1,banjori
26,2852,9,8,18,8,0,0,0.0,0.3076923076923077,2,1,1,8,1,0.0,4,2,0.2222222222222222,1,banjori
26,2794,8,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,1,0.125,1,banjori
18,1946,7,6,12,6,0,0,0.0,0.3333333333333333,2,0,0,6,1,0.0,4,1,0.14285714285714285,1,banjori
26,2805,8,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,1,0.125,1,banjori
26,2823,8,8,18,8,0,0,0.0,0.3076923076923077,2,0,2,8,1,0.0,4,2,0.25,1,banjori
26,2791,8,9,17,8,0,0,0.0,0.34615384615384615,1,0,1,8,1,0.0,4,2,0.25,1,banjori
26,2820,8,9,17,8,0,0,0.0,0.34615384615384615,1,0,1,8,1,0.0,4,2,0.25,1,banjori
26,2818,7,9,17,8,0,0,0.0,0.34615384615384615,1,0,1,8,1,0.0,4,1,0.14285714285714285,1,banjori
26,2833,8,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,2,0.25,1,banjori
18,1928,6,7,11,7,0,0,0.0,0.3888888888888889,1,0,0,6,1,0.0,4,1,0.16666666666666666,1,banjori
18,1953,6,8,10,6,0,0,0.0,0.4444444444444444,1,0,0,6,1,0.0,4,1,0.16666666666666666,1,banjori
18,1978,8,5,13,5,0,0,0.0,0.2777777777777778,1,0,0,6,1,0.0,4,1,0.125,1,banjori
26,2813,8,10,16,9,0,0,0.0,0.38461538461538464,1,0,1,8,1,0.0,4,2,0.25,1,banjori
26,2812,8,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,1,0.125,1,banjori
26,2806,8,10,16,8,0,0,0.0,0.38461538461538464,1,0,1,8,1,0.0,4,2,0.25,1,banjori
26,2817,7,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,1,0.14285714285714285,1,banjori
18,1955,7,5,13,5,0,0,0.0,0.2777777777777778,1,0,0,6,1,0.0,4,1,0.14285714285714285,1,banjori
18,1955,6,6,12,6,0,0,0.0,0.3333333333333333,1,0,0,6,1,0.0,4,1,0.16666666666666666,1,banjori
18,1973,6,7,11,7,0,0,0.0,0.3888888888888889,1,0,0,6,1,0.0,4,1,0.16666666666666666,1,banjori
26,2809,8,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,2,0.25,1,banjori
18,1956,7,6,12,6,0,0,0.0,0.3333333333333333,2,0,0,6,1,0.0,4,1,0.14285714285714285,1,banjori
26,2817,8,9,17,8,0,0,0.0,0.34615384615384615,1,0,1,8,1,0.0,4,1,0.125,1,banjori
26,2806,8,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,2,0.25,1,banjori
26,2804,8,10,16,8,0,0,0.0,0.38461538461538464,1,0,1,8,1,0.0,4,1,0.125,1,banjori
18,1975,6,7,11,7,0,0,0.0,0.3888888888888889,1,0,0,6,1,0.0,4,1,0.16666666666666666,1,banjori
26,2809,8,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,2,0.25,1,banjori
26,2788,8,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,2,0.25,1,banjori
26,2832,8,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,1,0.125,1,banjori
26,2811,8,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,2,0.25,1,banjori
26,2829,9,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,1,0.1111111111111111,1,banjori
18,1975,6,6,12,6,0,0,0.0,0.3333333333333333,1,0,0,6,1,0.0,4,1,0.16666666666666666,1,banjori
26,2818,8,9,17,9,0,0,0.0,0.34615384615384615,2,0,1,8,1,0.0,4,1,0.125,1,banjori
